,seed,model,rmsd_gr,rmsd_i2,rank,plddt,trial,scale,asp,phe
0,6,4,2.28175354,18.45892334,1,90.6,Abl1 M290L,256:512 First Replicate,62.71593094,62.71593094
1,19,4,2.287815094,18.44594383,2,90.6,Abl1 M290L,256:512 First Replicate,63.91591263,63.91591263
2,12,4,2.376296043,18.60302162,3,90.4,Abl1 M290L,256:512 First Replicate,64.66171265,64.66171265
3,20,4,2.370931149,18.53980827,4,90.1,Abl1 M290L,256:512 First Replicate,61.98458099,61.98458099
4,11,4,2.294143438,18.47173882,5,90.1,Abl1 M290L,256:512 First Replicate,63.49323273,63.49323273
5,21,4,2.303377867,18.51847649,6,90.1,Abl1 M290L,256:512 First Replicate,58.50064468,58.50064468
6,30,4,2.332698345,18.52152634,7,90,Abl1 M290L,256:512 First Replicate,63.214077,63.214077
7,13,4,2.316296577,18.43678093,8,89.9,Abl1 M290L,256:512 First Replicate,62.02851486,62.02851486
8,8,4,2.431839943,18.47618675,9,89.9,Abl1 M290L,256:512 First Replicate,60.62348175,60.62348175
9,22,4,2.330529213,18.46243858,10,89.9,Abl1 M290L,256:512 First Replicate,59.6489563,59.6489563
10,27,4,2.305884838,18.47134781,11,89.9,Abl1 M290L,256:512 First Replicate,62.58557129,62.58557129
11,18,4,2.331566811,18.48953056,12,89.8,Abl1 M290L,256:512 First Replicate,61.22835541,61.22835541
12,12,2,2.375154018,18.59008598,13,89.8,Abl1 M290L,256:512 First Replicate,62.57714081,62.57714081
13,12,5,2.314035892,18.56193924,14,89.7,Abl1 M290L,256:512 First Replicate,36.94250107,36.94250107
14,19,5,2.277164459,18.41176987,15,89.6,Abl1 M290L,256:512 First Replicate,34.93670273,34.93670273
15,16,4,2.322474718,18.47279549,16,89.6,Abl1 M290L,256:512 First Replicate,62.88661575,62.88661575
16,21,2,2.36927104,18.51976395,17,89.6,Abl1 M290L,256:512 First Replicate,60.63684845,60.63684845
17,2,5,2.289857149,18.46269608,18,89.6,Abl1 M290L,256:512 First Replicate,34.78615189,34.78615189
18,17,4,2.318044186,18.5222683,19,89.5,Abl1 M290L,256:512 First Replicate,60.30304337,60.30304337
