,seed,model,rmsd_gr,rmsd_i2,rank,plddt,trial,scale,asp,phe
0,7,4,0,16.810112,1,93.5,Src,256:512 First Replicate,55.90980148,-139.786911
1,24,4,0.297521144,16.69207954,2,93.1,Src,256:512 First Replicate,55.55872726,-138.6904755
2,11,4,0.557372272,16.76616859,3,93.1,Src,256:512 First Replicate,57.25360489,-138.4451752
3,31,4,0.314618856,16.72214127,4,92.9,Src,256:512 First Replicate,55.8939476,-139.7013397
4,27,4,0.388174951,16.79846573,5,92.9,Src,256:512 First Replicate,52.23139954,-146.488205
5,25,4,0.340265006,16.72273064,6,92.7,Src,256:512 First Replicate,55.16584015,-141.0928497
6,28,4,0.279189706,16.74860573,7,92.6,Src,256:512 First Replicate,56.28425217,-139.248291
7,5,4,0.319758505,16.70679855,8,92.4,Src,256:512 First Replicate,54.4640007,-140.1495819
8,18,2,0.478795648,16.89748573,9,92.4,Src,256:512 First Replicate,53.82218552,-142.8834381
9,13,4,0.578468621,16.65273094,10,92.4,Src,256:512 First Replicate,53.05326843,-141.4785156
10,23,4,0.55309397,16.73830795,11,92.4,Src,256:512 First Replicate,51.27214432,-142.3925323
11,9,4,0.438894957,16.79045486,12,92.3,Src,256:512 First Replicate,53.20420074,-141.7862701
12,28,2,0.500016928,16.82897377,13,92.2,Src,256:512 First Replicate,56.60407257,-138.1464691
13,19,4,0.504117668,16.73137665,14,92.2,Src,256:512 First Replicate,52.97288895,-142.9028473
14,19,2,0.283170909,16.96043396,15,92.2,Src,256:512 First Replicate,53.15978622,-142.2924805
15,21,4,0.603729725,16.63889503,16,92.2,Src,256:512 First Replicate,54.01853943,-139.1251373
16,27,1,0.406641304,16.80197144,17,92.1,Src,256:512 First Replicate,50.73899078,-146.2121887
17,24,2,0.575740993,16.71746254,18,92.1,Src,256:512 First Replicate,53.99681091,-138.0839081
18,18,4,0.754327297,16.7139492,19,92.1,Src,256:512 First Replicate,54.427845,-142.1372681
19,14,4,0.990188301,16.64241409,20,92.1,Src,256:512 First Replicate,54.11363983,-142.9005585
20,26,4,0.6594401,16.58400726,21,91.9,Src,256:512 First Replicate,52.30818558,-144.4970856
21,10,4,0.634401321,16.72229195,22,91.9,Src,256:512 First Replicate,53.26562881,-142.9558563
22,19,5,0.30019325,16.82051849,23,91.9,Src,256:512 First Replicate,27.8420887,-143.9539642
23,15,4,1.345937133,16.69620514,24,91.9,Src,256:512 First Replicate,55.37320709,-143.2473602
24,22,4,0.74982655,16.65659142,25,91.9,Src,256:512 First Replicate,52.56734085,-141.4372406
25,28,1,0.815443456,16.87450981,26,91.8,Src,256:512 First Replicate,55.90314865,-140.6329498
26,26,2,0.320629328,16.82010651,27,91.8,Src,256:512 First Replicate,52.12187958,-142.9721375
27,31,2,0.43057552,16.72904587,28,91.8,Src,256:512 First Replicate,55.46816254,-140.3720703
28,27,5,1.251735091,16.7352581,29,91.7,Src,256:512 First Replicate,27.14976883,-145.8811798
